name,description,recommendation
农村社会服务供给,工商资本参与提供的农资配送、农机作业、技术指导、金融保险等专业化农业服务。,KEEP
区域异质性,资本下乡对农民收入的影响在中西部与东部地区存在显著差异，体现政策效果的空间非均衡性。,KEEP
陈晓燕,关注资本下乡过程中农民权益保障机制构建的农业经济研究者。,DELETE
曹宗平,研究工商资本参与乡村振兴动因、利弊及治理对策的学术论坛作者。,DELETE
伪r平方,用于评估Logit/Probit等非线性模型拟合优度的统计指标，反映模型解释变异的比例,KEEP
小岗村,安徽省凤阳县小溪河镇下辖行政村，中国农村家庭联产承包责任制发源地，具有标志性制度实验意义。,DELETE
马勇进,青海省委党校学者，专注农村基层党组织功能发挥与党建引领乡村振兴路径,DELETE
农地承包到户,家庭联产承包责任制下将集体土地经营权长期稳定授予农户的制度安排，影响集体资产测度难度与合约选择倾向,KEEP
产权明晰,农村集体产权制度改革后形成的权属清晰、权能完整、流转顺畅的集体资产产权状态,KEEP
聚牛兴公司,与乌牛村合作的工商企业，参与仙桃李产业链经营，接受分成合约以降低事前议价成本,KEEP
农地经营规模,农业经营主体实际经营的耕地面积，是划分高/低规模分组的基础变量，影响其对分工与绿色技术的采纳能力。,KEEP
马子然,山东农业大学经济管理学院学者，本文第二作者，聚焦农业担保机制与政策评估研究。,DELETE
郑军,山东农业大学经济管理学院副教授，本文通讯作者，研究方向为农村金融制度与绿色发展路径。,DELETE
刘业伟,山东大学经济学院学者，本文第四作者，擅长计量方法与乡村振兴微观机制分析。,DELETE
信息失真率,反映合作过程中关键信息被误传、隐瞒或扭曲的程度，直接影响土地入股合作的信任基础与稳定性。,KEEP
严海蓉、陈义媛（2015）,揭示传统龙头企业通过控制土地与产业链上下游实现对代管农户支配关系的实证研究,KEEP
陈航英,研究资本下乡生态后果的学者，指出强势蔬菜资本导致地下水超采、农户生计脆弱化与村庄社区虚空化等问题,DELETE
郭亮,研究土地流转政治过程的学者，揭示资本通过非正式（混混）与正式（基层政权公关）手段操控农户自愿流转的实质,DELETE
俞吾金,中国哲学家，提出‘资本诠释学’理论，强调从哲学解释学路径重释马克思资本批判的思想方法论,DELETE
市值账面比,企业年末所有者权益市值与账面价值之比，反映市场对企业成长性与无形资产的估值,KEEP
跟踪企业数,分析师跟踪企业的平均数量加1后取自然对数，代理分析师资源投入与信息获取能力,KEEP
预测期间,分析师预测发布日与企业年报披露日平均间隔天数的自然对数，反映预测时效性与信息新鲜度,KEEP
克拉克法官,美国最高法院前大法官，1953年在SEC诉罗森普瑞纳案中提出‘法律目的说’，奠定私募/公募区分的正当性基础。,KEEP
陆昊,曾任北京市副市长，2004年系统分析北京市场环境特征，指出其需求规模、信息密度、区位枢纽性及消费示范性对郊区县域发展的关键支撑作用。,DELETE
李克强,1991年在《论我国农村的改革与发展》中提出‘农村工业化’理论，强调其非过渡性、结构性与城镇化联动性，为理解农民职工化提供理论基础。,DELETE
职工来源地构成,表征人才下乡程度与本地化融合水平的指标，怀柔企业职工46.0%来自本地区，18.3%来自北京，印证‘城市人力资源外溢’与‘农民职工化’并存。,KEEP
平原地区,地势平坦、土壤肥沃、交通便利的农村区域，通常具备较高农业生产效率与非农产业发展潜力。,KEEP
抚养负担,家庭中未成年子女与老年人口占总人口比重，反映家庭人力再生产压力与经济支持需求强度。,KEEP
孙浦阳,中国青年经济学家，江西财经大学教授，本文所引‘孙和亚伯拉罕方法’中‘孙’指其在事件分析与DID拓展方法上的贡献。,DELETE
alberto abadie,美国麻省理工学院经济学教授，提出合成控制法及事件研究法在DID框架下的严谨实现路径，被广泛用于政策评估。,KEEP
jens hainmueller,斯坦福大学政治学教授，熵平衡匹配方法的创立者，其2012年论文为该方法的理论与实证基准。,KEEP
企业层面样本,本文实证分析的基础观测单元，涵盖上市公司及其异地投资行为，用于识别物流标准化对企业跨区扩张的影响。,KEEP
扬黄水,通过电力提灌系统从黄河干流引水灌溉的工程性水源，受总量配额与气候影响，供水稳定性低于地下水。,DELETE
地下水,黄高县河谷川道区主要灌溉水源，具有开采便利、水量相对稳定等特点，但过度抽取易引发水位下降与机井干涸。,DELETE
压夏增秋,20世纪90年代黄高县推行的种植结构调整政策，通过压缩小麦（夏粮）面积、扩大玉米马铃薯（秋粮）面积提升降水利用率。,KEEP
张义合作社,与林华合作社并列的本地蔬菜经营主体，参与构建对小农户生产资料与流通环节的控制体系，是资本下乡在村级组织层面的重要执行者。,KEEP
刘东,黄高县水务局办公室主任，代表基层水利管理部门，公开承认蔬菜经济效益高从而支持项目井建设，并默认农户取水许可审批冻结的政策实践者。,DELETE
管理者思维,一种以效率优先、技术理性与行政主导为特征的治理逻辑，将农民视为需改造的对象，将资源视为可优化配置的生产要素。,KEEP
节水悖论,表面采用节水技术但实际加剧水资源消耗的现象，源于高耗水作物常年需水、深层地下水超采及循环系统破坏。,KEEP
有效灌溉面积,具有灌溉设施、能正常发挥效益的耕地面积，是衡量农业水利现代化的重要指标,KEEP
漫灌,一种传统地面灌溉方式，水资源利用效率低且易加剧土壤盐碱化和面源污染,DELETE
畦灌,将田块划分为小畦进行灌溉的地面灌水方法，虽较漫灌节水但仍属粗放型用水方式,DELETE
