identity,fam_type,hh_size,gender,birth_ym,edu,politics,village_duty,hukou,employment,nonfarm_type,nonfarm_income,cult_area,own_area,transfer_in_area,transfer_out_area,reclaim_area,basic_farm_area,paddy_area,plain_area,terrace_area,irrigable_area,dryland_area,n_parcels,land_alloc_year,n_member_land,adj_willing,adj_direction,adj_why_open,adj_unwill_open,out_area,out_year,out_reason,out_to_whom,out_irrigable,out_slope,out_info_ch,out_contract,out_contract_party,out_rent_term_set,out_rent_term,out_rent_type,out_cash_rent,out_rent_schedule,out_rent_pay,out_kind_type,out_kind_qty,in_area,in_year,in_reason,in_reason_r1,in_reason_r2,in_reason_r3,in_reason_r4,in_reason_r5,in_gross_income,in_contiguous,in_irrigable,in_slope,in_info_ch,in_info_ch_r1,in_info_ch_r2,in_info_ch_r3,in_info_ch_r4,in_info_ch_r5,in_info_ch_r6,in_info_ch_r7,in_info_ch_r8,in_contract,in_contract_party,in_contract_party_r1,in_contract_party_r2,in_contract_party_r3,in_contract_party_r4,in_rent_term_set,in_rent_term,in_rent_type,in_cash_rent,in_rent_schedule,in_rent_pay,in_kind_type,in_kind_qty,in_crop_type,crops_all,crops_grain,crops_self,sown_area,soil_type,land_grade,land_grade_r1,land_grade_r2,land_grade_r3,land_grade_r4,till_method,till_method_r1,till_method_r2,till_method_r3,till_method_r4,till_method_r5,till_method_r6,mech_service,mech_service_r1,mech_service_r2,mech_service_r3,mech_service_r4,mech_service_r5,mech_service_r6,mech_service_r7,mech_service_cost,hire_cost,hire_source,hire_pay_type,avg_yield,total_yield,tech_need,tech_need_type,tech_train,tech_train_source,tech_train_source_r1,tech_train_source_r2,tech_train_source_r3,tech_train_source_r4,tech_train_source_r5,disaster_5y,disaster_type,disaster_type_r1,disaster_type_r2,disaster_type_r3,disaster_type_r4,disaster_type_r5,disaster_type_r6,disaster_loss_pct,disaster_affect,disaster_effect,disaster_effect_r1,disaster_effect_r2,disaster_effect_r3,disaster_effect_r4,gov_help,gov_help_type,ins_buy,ins_way,ins_amount_per_mu,ins_subsidy,ins_subsidy_amt,ins_subsidy_sat,ins_claim_sat,ins_claim_un_sat,ins_no_reason,ins_future,water_sat,water_problem,irrig_eq_use,irrig_eq_type,irrig_eq_get,irrig_eq_get_r1,irrig_eq_get_r2,irrig_eq_get_r3,irrig_eq_get_r4,irrig_eq_get_r5,irrig_conv,irrig_boost,mech_eq_use,mech_eq_get,mech_eq_get_r1,mech_eq_get_r2,mech_eq_get_r3,mech_eq_get_r4,mech_eq_get_r5,mech_conv,mech_conv_r1,mech_conv_r2,mech_conv_r3,mech_conv_r4,mech_conv_r5,mech_conv_r6,mech_boost,road_problem,road_problem_r1,road_problem_r2,road_problem_r3,road_problem_r4,road_problem_r5,process_do,process_purpose,process_cost,process_place,process_subsidy,process_subsidy_amt,process_sat,process_un_sat,process_price_pre,process_price_post,process_price_sat,brand_exist,brand_how,brand_benefit,brand_benefit_r1,brand_benefit_r2,brand_benefit_r3,brand_benefit_r4,brand_benefit_r5,brand_std_will,brand_std_unwill,brand_boost,sales_channel,ecom_aware,ecom_sell,ecom_benefit,ecom_problem,input_buy,input_buy_r1,input_buy_r2,input_buy_r3,input_buy_r4,input_buy_r5,input_buy_r6,input_cost,input_cost_share,input_heavy,input_heavy_share,input_burden,input_channel,input_channel_why,input_conv,subsidy_get,subsidy_type,subsidy_per_mu,subsidy_total,subsidy_sat,subsidy_problem,subsidy_boost,subsidy_info_ch,subsidy_reduce_abandon,subsidy_no_reason,farm_reason,farm_reason_r1,farm_reason_r2,farm_reason_r3,farm_reason_r4,farm_reason_r5,farm_reason_r6,farm_reason_r7,own_abandon,own_abandon_reason,own_abandon_reason_r1,own_abandon_reason_r2,own_abandon_reason_r3,own_abandon_reason_r4,own_abandon_reason_r5,own_abandon_reason_r6,village_abandon,village_abandon_reason,village_abandon_reason_r1,village_abandon_reason_r2,village_abandon_reason_r3,village_abandon_reason_r4,village_abandon_reason_r5,village_abandon_reason_r6,village_abandon_reason_r7,village_abandon_reason_r8,continue_will,continue_will_why,prospect_view,prospect_why,village_motive_change,motive_change_why,abandon_right_will,abandon_right_why
1,6,6,1,195510,1,1,1,1,1,2,11672,0,0,0,0,0,1.4,3.3,26.6,34.0,49.8,22.3,4,24.0,29.6,4,-99,担心政策变化,种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,流转给合作社统一经营,流转给合作社统一经营,40.3,3,,1,0,0,1,,1,0,0,1,0,1,,0,0,0,0,0,0,1,31.1,33.8,6,4,32.3,43.9,2,-99,1,,0,0,1,1,0,1,,0,1,0,0,0,0,35.9,1,,1,0,1,0,1,4,2,-99,-99,-99,-99,-99,-99,-99,1,"自家食用为主, 剩余出售",3,1,2,1,,1,1,0,1,0,1,6,2,,1,0,0,0,0,,0,0,1,0,0,0,2,,0,1,0,0,0,2,2,22.5,1,2,-99,4,5,46.8,31.6,3,2,-99,-99,,,,,,2,1,4,5,1,1,1,2,,0,0,0,1,0,0,18.0,18.7,3,32.6,5,5,1,2,2,-99,-99,-99,-99,-99,-99,-99,-99,2,,0,1,0,0,1,0,1,2,-99,,,,,,,1,,1,0,1,0,0,0,0,0,5,"自家食用为主, 剩余出售",3,种粮补贴较稳定,4,种粮补贴较稳定,5,担心政策变化
1,6,3,1,195506,1,1,1,4,1,3,4046,32.9,15.0,17.9,0,0,12.1,33.1,36.2,25.5,16.2,4.0,2,46.6,10.2,99,-99,种粮补贴较稳定,担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,46.7,7.4,,0,1,1,0,1,12.9,1,2,2,,0,0,1,0,0,1,0,0,1,,0,0,1,1,1,29.7,1,43.0,2,2,种粮补贴较稳定,37.1,1,担心政策变化,"外出务工, 家中老人耕种",担心政策变化,25.6,5,,1,1,0,1,,1,0,0,0,1,0,,0,0,1,1,1,0,0,14.6,15.7,5,1,42.5,7.5,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,2,24.6,2,21.4,1,1,1,-99,-99,5,2,1,2,,0,1,1,0,1,1,3,1,,1,0,1,0,1,,0,1,1,0,1,0,5,,1,1,0,1,0,1,1,34.7,3,1,-99,4,3,12.3,48.8,3,1,3,,0,0,1,0,0,2,-99,-99,3,2,2,2,6,,0,0,1,0,0,0,30.1,5.1,3,7.0,2,1,7,4,1,6,46.0,38.8,5,4,2,6,1,-99,,1,0,0,0,1,0,0,2,-99,,,,,,,1,,0,1,0,0,0,0,0,0,1,担心政策变化,2,"自家食用为主, 剩余出售",5,"外出务工, 家中老人耕种",2,流转给合作社统一经营
1,6,6,1,197205,2,1,1,1,1,2,8603,5.9,15.0,0,9.1,0,45.5,37.9,38.9,45.5,23.9,46.1,8,42.2,19.6,5,-99,担心政策变化,流转给合作社统一经营,20.6,42.6,1,3,1,1,8,1,2,1,14.1,4,19.1,1,3,"自家食用为主, 剩余出售",17.1,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,流转给合作社统一经营,种粮补贴较稳定,流转给合作社统一经营,25.8,1,,0,1,0,1,,0,1,0,0,0,0,,1,0,0,1,0,0,0,29.3,39.8,3,3,8.5,49.8,1,2,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,4,种粮补贴较稳定,4,2,2,1,,1,0,0,0,0,3,4,1,,1,0,1,1,0,,0,1,1,0,1,0,1,,0,0,0,1,1,2,1,39.8,3,1,-99,4,1,31.6,24.9,3,3,-99,-99,,,,,,1,3,5,3,3,2,5,3,,0,0,1,1,0,0,14.8,33.4,2,35.5,3,7,3,5,3,-99,-99,-99,-99,-99,-99,-99,-99,2,,0,0,0,1,1,0,1,2,-99,,,,,,,1,,1,1,0,1,0,0,0,0,2,种粮补贴较稳定,4,"外出务工, 家中老人耕种",5,"外出务工, 家中老人耕种",2,"外出务工, 家中老人耕种"
3,6,6,1,195602,1,1,1,1,7,3,8346,12.8,12.8,0,0,0,8.1,9.2,5.0,16.0,41.5,1.6,3,35.0,2.3,4,-99,种粮补贴较稳定,"自家食用为主, 剩余出售",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,种粮补贴较稳定,担心政策变化,种粮补贴较稳定,2.4,5,,1,1,1,0,,1,0,0,0,0,0,,0,0,0,1,0,1,0,-99,31.5,1,4,19.3,24.7,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,2,担心政策变化,6,2,2,4,,0,0,0,0,1,3,1,2,,1,0,1,0,1,,0,0,0,0,0,1,6,,0,1,0,1,0,1,2,27.2,3,2,38.7,4,3,27.6,49.1,5,3,-99,-99,,,,,,1,2,3,2,2,2,4,6,,0,0,1,0,0,0,27.5,28.5,2,44.4,1,3,4,2,2,-99,-99,-99,-99,-99,-99,-99,-99,3,,0,1,1,0,0,1,0,2,-99,,,,,,,2,-99,,,,,,,,,3,"自家食用为主, 剩余出售",5,流转给合作社统一经营,2,"外出务工, 家中老人耕种",2,担心政策变化
2,6,6,2,198805,6,2,1,1,7,2,928,35.4,15.5,19.9,0,0,44.0,18.4,20.1,43.3,47.5,35.9,7,38.6,46.3,4,-99,流转给合作社统一经营,担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,42.9,45.1,,1,1,0,0,0,24.1,2,1,3,,0,0,0,1,0,0,1,0,1,,1,1,0,0,2,45.3,3,8.2,1,4,担心政策变化,9.2,1,担心政策变化,种粮补贴较稳定,"自家食用为主, 剩余出售",48.5,3,,0,0,1,0,,0,1,0,0,1,1,,0,0,1,0,0,0,0,45.1,24.8,1,2,40.6,11.1,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,1,流转给合作社统一经营,6,3,1,1,,0,0,0,1,0,4,5,2,,1,0,0,0,0,,1,0,1,1,0,0,3,,0,0,1,0,0,1,3,23.1,1,2,-99,4,3,3.9,15.4,4,2,-99,-99,,,,,,2,1,3,1,3,2,5,6,,0,0,0,0,1,0,34.5,12.0,3,10.8,3,3,5,1,1,4,4.9,38.1,3,3,3,4,1,-99,,0,0,1,0,0,0,1,2,-99,,,,,,,2,-99,,,,,,,,,2,流转给合作社统一经营,4,担心政策变化,3,流转给合作社统一经营,2,"外出务工, 家中老人耕种"
2,1,6,1,199402,7,1,1,3,1,1,6941,7.9,7.9,0,0,0,4.2,26.6,31.4,5.4,16.3,38.7,8,2.6,34.8,3,-99,种粮补贴较稳定,担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,"自家食用为主, 剩余出售",流转给合作社统一经营,18.8,5,,0,1,0,0,,0,1,1,0,0,1,,0,0,0,1,0,0,0,28.3,3.7,5,2,36.2,17.9,2,-99,2,-99,,,,,,1,,0,0,0,1,0,0,5.4,1,,0,1,1,0,2,2,1,3,30.6,1,23.7,2,2,2,-99,-99,6,3,1,1,,0,1,0,1,0,4,5,1,,0,1,0,0,1,,0,1,1,0,0,1,2,,0,0,1,0,0,1,3,24.9,2,1,-99,2,3,32.8,16.1,4,1,4,,0,1,1,0,1,2,-99,-99,4,2,2,5,5,,0,1,0,1,0,0,28.4,45.0,1,24.6,1,5,5,5,2,-99,-99,-99,-99,-99,-99,-99,-99,1,,1,0,0,0,0,0,0,2,-99,,,,,,,1,,1,1,0,0,0,1,0,0,2,"外出务工, 家中老人耕种",2,"自家食用为主, 剩余出售",3,"外出务工, 家中老人耕种",1,"自家食用为主, 剩余出售"
1,4,4,2,197910,5,1,1,1,1,3,4058,0.3,0.3,0,0,0,21.3,31.7,26.0,28.8,11.8,10.4,8,38.0,38.3,5,-99,担心政策变化,"外出务工, 家中老人耕种",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,"外出务工, 家中老人耕种",种粮补贴较稳定,16.5,3,,0,1,1,1,,0,0,0,1,0,1,,0,0,1,0,0,0,1,5.1,22.9,2,1,36.8,30.5,2,-99,2,-99,,,,,,1,,0,0,0,1,0,0,16.8,2,,0,1,0,1,2,1,2,-99,-99,-99,-99,-99,-99,-99,2,担心政策变化,2,4,2,1,,0,1,0,0,0,4,2,1,,0,0,1,0,0,,0,0,0,1,1,0,5,,1,0,0,0,1,1,3,21.2,3,2,-99,4,4,6.6,13.0,2,1,3,,0,1,0,1,1,2,-99,-99,7,2,1,5,3,,0,1,0,0,0,0,13.9,5.4,4,44.8,1,5,2,3,2,-99,-99,-99,-99,-99,-99,-99,-99,3,,0,1,0,0,0,0,1,1,,1,0,1,0,0,1,1,,0,0,0,0,0,1,0,0,3,担心政策变化,1,种粮补贴较稳定,1,"外出务工, 家中老人耕种",4,"外出务工, 家中老人耕种"
6,1,4,2,199310,7,3,5,4,3,3,23227,4.6,4.6,0,0,0,33.8,44.4,21.1,44.2,37.4,38.8,2,14.1,33.1,3,-99,"外出务工, 家中老人耕种",担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售","外出务工, 家中老人耕种",流转给合作社统一经营,35.6,4,,1,0,0,1,,0,1,0,1,1,0,,0,1,0,0,0,0,0,28.6,29.1,2,4,11.1,34.1,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,2,43.9,2,28.3,1,3,4,-99,-99,6,3,1,3,,0,1,1,0,0,3,3,1,,1,0,1,1,0,,1,1,1,0,0,0,2,,0,0,0,0,1,2,2,33.0,2,1,-99,4,4,18.1,27.1,5,3,-99,-99,,,,,,1,2,5,5,1,2,2,2,,0,0,0,0,1,0,32.2,2.3,5,16.1,1,1,3,4,2,-99,-99,-99,-99,-99,-99,-99,-99,3,,0,0,0,0,0,1,0,2,-99,,,,,,,1,,0,0,0,1,0,1,0,0,2,流转给合作社统一经营,2,种粮补贴较稳定,2,"自家食用为主, 剩余出售",4,"自家食用为主, 剩余出售"
1,2,5,1,196309,1,3,1,2,3,3,22438,3.0,18.7,0,15.7,0,26.3,23.3,42.6,3.5,7.7,1.7,8,44.2,33.0,4,-99,"外出务工, 家中老人耕种","自家食用为主, 剩余出售",13.2,27.2,6,6,2,1,4,1,2,2,29.9,5,40.6,2,3,"外出务工, 家中老人耕种",3.6,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售",种粮补贴较稳定,"外出务工, 家中老人耕种",41.3,2,,1,0,0,0,,1,0,0,0,0,0,,0,0,0,1,0,0,1,-99,23.1,3,1,7.0,4.8,2,-99,1,,1,0,1,0,1,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,1,2.7,1,39.6,2,3,4,-99,-99,5,4,1,1,,0,0,1,0,0,1,1,2,,0,0,1,0,1,,1,1,0,0,0,1,6,,0,1,0,1,0,1,1,18.9,4,2,49.1,2,5,44.5,4.0,1,1,1,,0,0,0,1,0,1,-99,-99,6,2,2,6,6,,0,1,0,0,0,1,10.2,32.1,4,31.4,5,6,2,3,1,7,17.9,29.2,5,2,2,5,3,-99,,0,0,0,0,0,1,0,2,-99,,,,,,,1,,0,0,0,0,0,1,0,0,5,担心政策变化,3,流转给合作社统一经营,2,流转给合作社统一经营,5,流转给合作社统一经营
1,5,3,2,195706,1,4,1,1,7,2,5188,4.9,14.0,0,9.1,0,33.5,37.6,49.6,6.5,1.2,3.1,9,12.3,25.4,4,-99,"外出务工, 家中老人耕种",担心政策变化,36.5,24.1,4,2,2,2,3,1,1,1,7.7,3,33.8,1,3,种粮补贴较稳定,25.1,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,流转给合作社统一经营,"外出务工, 家中老人耕种",47.0,3,,0,0,1,0,,1,0,0,0,1,0,,0,0,0,1,0,1,0,-99,35.1,4,2,42.5,24.3,2,-99,1,,1,0,0,0,0,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,6,"外出务工, 家中老人耕种",6,4,2,2,,0,1,0,0,0,4,6,2,,0,0,0,1,0,,0,1,0,1,0,0,1,,1,1,1,0,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,2,1,1,5,3,2,3,2,,0,1,1,0,0,0,31.0,45.6,1,24.9,1,4,2,5,1,1,7.6,46.5,4,1,1,6,2,-99,,0,1,0,0,0,0,1,2,-99,,,,,,,2,-99,,,,,,,,,5,"外出务工, 家中老人耕种",2,"外出务工, 家中老人耕种",5,担心政策变化,4,流转给合作社统一经营
