identity,gender,birth_ym,edu,hh_size,employment,politics,village_duty,hukou,nonfarm_income,own_area,transfer_in_area,transfer_out_area,reclaim_area,cult_area,n_parcels,adj_willing,continue_will,abandon_right_will,cadre,off_farm
2,1,197504,4,5,7,1,1,1,11372,8.4,0,6.6,0,1.8,5,3,2,5,0,0
1,1,197106,2,3,2,1,1,1,44180,12.1,7.3,11.5,0,7.9,6,5,3,5,0,1
2,2,196304,3,4,6,1,1,1,0,4.9,13.4,0,0,18.3,4,4,2,5,0,0
5,1,197211,2,2,6,2,1,1,0,20.7,0,0,0,20.7,8,5,4,4,0,0
1,1,199309,6,6,2,1,5,1,47826,11.8,0,9.2,0,2.6,2,4,3,1,0,1
1,2,195811,4,5,5,1,1,1,3123,13.1,0,0,0,13.1,9,5,2,5,0,0
2,2,199010,6,3,7,3,3,1,0,16.4,0,10.1,0,6.3,4,3,2,5,1,0
1,2,196209,2,4,3,1,2,1,21288,12.1,7.6,0,0,19.7,6,5,4,5,1,1
1,1,195910,1,4,3,1,1,1,32117,10.7,0,7.6,0,3.1,9,5,2,3,0,1
1,1,198807,6,4,3,1,1,1,34852,13.2,0,8.0,0,5.2,4,5,2,3,0,1
1,1,196208,2,5,6,1,1,1,10693,16.5,0,10.6,0,5.9,1,5,1,5,0,0
1,2,198705,3,6,3,2,1,1,45621,19.0,12.5,16.1,0,15.4,9,5,2,5,0,1
3,1,196211,2,6,2,3,1,1,34571,10.7,0,7.9,0,2.8,6,4,2,5,0,1
2,1,196201,1,6,1,1,1,3,0,16.5,0,0,0,16.5,9,4,1,3,0,0
2,1,199305,7,6,1,3,1,1,5688,11.6,0,0,0,11.6,5,3,3,5,0,0
1,1,196611,3,6,1,1,1,1,10843,6.4,0,2.7,0,3.7,7,5,3,5,0,0
5,2,196006,2,3,6,3,1,1,8612,22.7,0,0,0,22.7,1,5,1,5,0,0
5,2,197305,2,3,5,1,1,1,8847,6.8,0,0,0,6.8,4,5,1,5,0,0
6,1,199909,5,4,7,1,5,1,0,21.6,0,10.0,0,11.6,6,4,1,3,0,0
1,1,197401,3,6,3,2,1,1,27990,8.2,0,0,0,8.2,2,5,3,3,0,1
1,1,199303,6,3,4,1,1,1,0,0,16.1,0,0,16.1,6,4,4,3,0,0
1,2,196811,3,2,3,1,1,2,28954,0,6.4,0.0,0,6.4,2,5,1,5,0,1
1,1,198907,6,1,5,2,1,1,10899,18.2,0,10.0,0,8.2,8,5,2,5,0,0
6,2,199712,7,6,3,3,1,1,38951,4.1,0,0,0,4.1,9,4,2,4,0,1
1,1,197506,3,3,1,1,1,1,0,17.9,0,0,0,17.9,7,5,4,4,0,0
2,2,199407,4,3,2,3,1,1,33764,8.8,0,0,0,8.8,8,3,1,3,0,1
3,2,198703,7,6,3,3,1,1,41965,13.7,6.7,0,0,20.4,8,4,1,5,0,1
1,2,198405,6,5,1,3,1,1,0,3.2,0,1.3,0,1.9,3,5,4,5,0,0
1,1,200205,8,5,5,1,1,4,4402,16.0,0,0,0,16.0,4,3,3,2,0,0
1,1,197711,3,5,1,4,1,1,0,4.3,0,0,0,4.3,2,5,3,5,0,0
3,2,198503,5,5,7,1,1,1,0,0,0,0,0,0,2,4,3,5,0,0
1,1,198206,4,2,6,1,1,1,0,17.9,0,7.3,3.9,14.5,8,5,1,5,0,0
2,1,195902,1,3,2,1,1,1,16322,7.9,0,0,0,7.9,8,4,2,5,0,1
3,1,199212,7,4,5,3,1,1,8320,11.7,0,4.8,0,6.9,1,5,3,4,0,0
2,2,196401,5,4,3,1,1,1,44101,7.1,0,0,3.5,10.6,1,4,3,5,0,1
1,2,196509,2,5,1,1,1,1,0,0.5,0,0,0,0.5,2,5,2,4,0,0
1,1,199302,7,5,3,1,1,1,41085,11.7,0,6.5,0,5.2,4,4,2,5,0,1
1,1,196702,3,2,6,1,1,3,0,4.2,0,0,0,4.2,8,4,3,3,0,0
3,1,195902,1,3,4,2,1,1,0,14.0,11.3,0,0,25.3,5,4,1,5,0,0
3,2,198806,6,4,2,1,1,1,7582,10.3,3.6,8.8,0,5.1,2,4,4,3,0,1
1,2,198707,7,5,3,1,1,1,34615,13.9,0,0,3.5,17.4,4,5,3,4,0,1
1,1,196508,2,6,4,1,4,1,0,3.1,0,0,0,3.1,4,5,3,3,0,0
4,1,198406,5,6,3,2,1,1,0,0,11.7,0,0,11.7,9,5,1,5,0,1
4,2,197310,2,4,2,1,3,1,47818,22.4,0,11.0,0,11.4,6,4,2,5,1,1
1,1,196707,1,6,7,1,1,1,0,7.7,0,0,0,7.7,6,5,3,5,0,0
1,1,197604,4,5,3,1,1,2,8012,13.7,16.3,0,0,30.0,6,5,3,5,0,1
1,2,196803,5,5,1,3,1,1,9334,10.0,0,0,0,10.0,3,4,3,4,0,0
1,1,198512,6,3,6,1,1,1,2594,6.0,0,0,0,6.0,7,5,5,5,0,0
3,2,199612,4,3,6,1,1,1,0,10.3,0,0,0,10.3,3,3,4,3,0,0
1,1,199506,7,3,5,1,1,1,0,7.0,0,0,0,7.0,5,4,3,4,0,0
